Id,Title,Summary,Date,Link,
33,Mahatma Gandhi statue vandalised in California,The statue of Gandhi^ which was donated by the Indian government to the city of Davis^ was installed by the city council four years ago,30 Jan 2021,https://www.indiatoday.in/nation/current-affairs/300121/mahatma-gandhi-statue-vandalised-in-us.html
34,Biden admin withdraws move to rescind work authorisation for H-1B spouses,Spouses of Indian professionals on H-1B visas^ are the biggest beneficiary of the Obama-era rule that gave employment authorisation cards,28 Jan 2021,https://www.indiatoday.in/world/america/280121/biden-admin-withdraws-move-to-rescind-work-authorisation-for-h-1b-spou.html
35,US terrorism alert warns of politically motivated violence,A DHS statement noted the potential for violence from a broad range of ideologically-motivated actors,28 Jan 2021,https://www.indiatoday.in/world/america/280121/us-terrorism-alert-warns-of-politically-motivated-violence.html
36,Biden to drop Trump's military transgender ban,The decision comes as Biden plans to turn his attention to equity issues that he believes continue to shadow nearly all aspects of US life,25 Jan 2021,https://www.indiatoday.in/world/america/250121/biden-to-drop-trumps-military-transgender-ban.html
37,US vaccine shortages force cancellations^ postponements,Over the past few days^ authorities in California^ Ohio^ West Virginia^ Florida and Hawaii warned that their supplies were running out,22 Jan 2021,https://www.indiatoday.in/world/america/220121/us-vaccine-shortages-force-cancellations-postponements.html
38,Brazil awaiting two million vaccine doses from India,The delivery on Friday would be a much-needed boost to Brazil's vaccination programme,22 Jan 2021,https://www.indiatoday.in/world/america/220121/brazil-awaiting-two-million-vaccine-doses-from-india.html
39,Biden signs 15 executive orders^ reversing Trump's key policies,The orders ranged from rejoining the Paris agreement^ halting US' withdrawal from WHO^ and stopping construction of Mexico border wall,21 Jan 2021,https://www.indiatoday.in/world/america/210121/biden-signs-15-executive-orders-reversing-trumps-key-policies.html
40,Itâs a new day in America,Biden to end country cap on H1B visas with his first orders,21 Jan 2021,https://www.indiatoday.in/world/america/210121/its-a-new-day-in-america.html
41,âThis is not a gameâ: Global virus death toll hits 2 million,UN Secretary General Antonio Guterres said the 2 million milestone has been made worse by the absence of a global coordinated effort,16 Jan 2021,https://www.indiatoday.in/world/america/160121/this-is-not-a-game-global-virus-death-toll-hits-2-million.html
42,US lawmakers seek to hold Trump accountable for January 6 storming of Capitol Hill,McGovern brought to the House Floor H. Res. 24^ the article of impeachment against Trump,13 Jan 2021,https://www.indiatoday.in/world/america/130121/us-lawmakers-seek-to-hold-trump-accountable-for-january-6-storming-of.html
43,Biden names two Indian Americans to the Office of White House Counsel,Reema Shah has been named as Deputy Associate Counsel while Neha Gupta^ has been named as Associate Counsel in the Office,12 Jan 2021,https://www.indiatoday.in/world/america/120121/biden-names-two-indian-americans-to-the-office-of-white-house-counsel.html
44,A farewell to @realDonaldTrump^ gone after 57^000 tweets,As Trump began seriously toying with a White House run^ it became a tool to scorch opponents and give shape to his nationalist philosophy,09 Jan 2021,https://www.indiatoday.in/world/america/090121/a-farewell-to-realdonaldtrump-gone-after-57000-tweets.html
45,House will move to impeach Trump if he doesn't resign 'immediately'^ says Pelosi,Indian-American Congresswoman Pramila Jayapal said the impeachment proceedings should begin immediately,09 Jan 2021,https://www.indiatoday.in/world/america/090121/house-will-move-to-impeach-trump-if-he-doesnt-resign-immediately-s.html
46,Officer dies following clash with pro-Trump mob: US Capitol Police,Four protesters died^ including a woman who was shot by police,08 Jan 2021,https://www.indiatoday.in/world/america/080121/officer-dies-following-clash-with-pro-trump-mob-us-capitol-police.html
47,Trump's education and transport secretaries resign over Capitol Hill violence,A day earlier a number of senior White House staffers resigned over the Capitol Hill violence,08 Jan 2021,https://www.indiatoday.in/world/america/080121/trumps-education-and-transport-secretaries-resign-over-capitol-hill-v.html
48,Biden wins amid chaos,Congress seals Biden-Kamala win after Trump supporters breach,08 Jan 2021,https://www.indiatoday.in/world/america/080121/biden-wins-amid-chaos.html
49,US to modify H1B visa selection process^ to give priority to wages^ skill level,The final rule to be published in the federal register on Jan 8. It will be effective 60 days after its publication in the Federal Register,08 Jan 2021,https://www.indiatoday.in/world/america/080121/us-to-modify-h1b-visa-selection-process-to-give-priority-to-wages-sk.html
50,Trump^ on tape^ presses Georgia official to 'find' votes to overturn defeat: Report,The Trump campaign and several of the president's allies have launched dozens of attempts to challenge the poll results in many swing states,04 Jan 2021,https://www.indiatoday.in/world/america/040121/trump-on-tape-presses-georgia-official-to-find-votes-to-overturn-d.html
51,Nancy Pelosi re-elected as Speaker of US House of Representatives,Following the election of the House Speaker^ Pelosi administered the oath to the rest of the members of the House,04 Jan 2021,https://www.indiatoday.in/world/america/040121/nancy-pelosi-re-elected-as-speaker-of-us-house-of-representatives.html
52,In a first^ US Congress overrides Trump veto of defense bill,Trump had lashed out at GOP lawmakers^ charging that 'Weak and tired Republican 'leadership' will allow the bad Defense Bill to pass',02 Jan 2021,https://www.indiatoday.in/world/america/020121/in-a-first-us-congress-overrides-trump-veto-of-defense-bill.html
53,Trump finally signs massive coronavirus relief and spending package into law,He had been under growing pressure from both sides of Congress to sign the bill,28 Dec 2020,https://www.indiatoday.in/world/america/281220/trump-finally-signs-massive-coronavirus-relief-and-spending-package-in.html
54,Motor home explodes in Nashville^ possible human remains found near site,The blast came just moments after officers responded to reports of gunfire in the area,26 Dec 2020,https://www.indiatoday.in/world/america/261220/motor-home-explodes-in-nashville-possible-human-remains-found-near-si.html
55,US COVID-19 deaths top 300^000 just as vaccinations begin,If a second vaccine is authorised soon^ as expected^ 20 million people could be immunized by month's end,15 Dec 2020,https://www.indiatoday.in/world/america/151220/us-covid-19-deaths-top-300000-just-as-vaccinations-begin.html
56,Some in White House getting early access to COVID-19 vaccine,It was not immediately clear how many officials would be offered the vaccine initially and whether Trump or Pence would get it,14 Dec 2020,https://www.indiatoday.in/world/america/141220/some-in-white-house-getting-early-access-to-covid-19-vaccine.html
57,Khalistan supporters vandalise Mahatma Gandhi's statue in US,The Indian Embassy condemned the 'mischievous act' by hooligans masquerading as protesters,13 Dec 2020,https://www.indiatoday.in/world/america/131220/khalistan-supporters-vandalise-mahatma-gandhis-statue-in-us.html
58,Thousands of Trump supporters again rally in Washington,Thousands gathered around Freedom Plaza^ a few blocks from the White House^ in a festive atmosphere.,13 Dec 2020,https://www.indiatoday.in/world/america/131220/thousands-of-trump-supporters-again-rally-in-washington.html
59,US buys 100 million additional doses of Moderna vaccine,This brings the total number of Moderna doses bought by US to 200 million^ enough to immunize 100 million people with the two-shot regimen,12 Dec 2020,https://www.indiatoday.in/world/america/121220/us-buys-100-million-additional-doses-of-moderna-vaccine.html
60,US regulators post positive review of Pfizer vaccine data,FDA regulators posted their analysis online even as across the Atlantic^ Britain began vaccinating its oldest citizens,08 Dec 2020,https://www.indiatoday.in/world/america/081220/us-regulators-post-positive-review-of-pfizer-vaccine-data.html
61,WHO looks at e-certificates for COVID-19 vaccination,Tech-savvy Estonia earlier this year began testing an app that could serve as a kind of digital 'immunity passport',04 Dec 2020,https://www.indiatoday.in/world/america/041220/who-looks-at-e-certificates-for-covid-19-vaccination.html
62,US Senate passes bill eliminating per-country cap for H-1B work visas,The provision will facilitate removal of the massive backlog of Indian IT professionals in the US,03 Dec 2020,https://www.indiatoday.in/world/america/031220/us-senate-passes-bill-eliminating-per-country-cap-for-h-1b-work-visas.html
63,US court blocks two H-1B visa regulations proposed by Trump administration,Most of the nearly 600^000 H-1B visa holders in the US are from India and China,02 Dec 2020,https://www.indiatoday.in/world/america/021220/us-court-blocks-two-h-1b-visa-regulations-proposed-by-trump-administra.html
64,Moderna says its COVID-19 vaccine shows 100% success against severe cases,Moderna Inc will apply for U.S. and European emergency authorization for the vaccine,30 Nov 2020,https://www.indiatoday.in/world/america/301120/moderna-says-its-covid-19-vaccine-shows-100-success-against-severe-ca.html
65,US to distribute 6.4 million Covid vaccine doses in first tranche,The figure includes another vaccine developed by Moderna and the NIH^ which announced some preliminary efficacy results last week,25 Nov 2020,https://www.indiatoday.in/world/america/251120/us-to-distribute-64-million-covid-vaccine-doses-in-first-tranche.html
66,First Americans could get vaccine by mid-December: Top health official,The US has recorded more than 12 million cases and 255^000 deaths^ the highest tolls registered anywhere in the world,23 Nov 2020,https://www.indiatoday.in/world/america/231120/first-americans-could-get-vaccine-by-mid-december-top-health-official.html
67,US hits 12 million virus cases as many Americans defy Thanksgiving travel guidance,The COVID-19 epidemic has claimed more than 255^000 lives in the United States - more than in any other nation,23 Nov 2020,https://www.indiatoday.in/world/america/231120/us-hits-12-million-virus-cases-as-many-americans-defy-thanksgiving-tra.html
68,US allows emergency use of new antibody drug Trump received,The FDA allowed its use in adults and children 12 and over who weigh at least 40 kilograms and who are at high risk of severe illness,22 Nov 2020,https://www.indiatoday.in/world/america/221120/us-allows-emergency-use-of-new-antibody-drug-trump-received.html
69,Donald Trump Jr tests positive for COVID-19,Trump Jr is the latest in the First Family to have been tested positive for coronavirus,21 Nov 2020,https://www.indiatoday.in/world/america/211120/donald-trump-jr-tests-positive-for-covid-19.html
